cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"NARNIA KRÓNIKÁI: AZ OROSZLÁNY, A BOSZORKÁNY ÉS A RUHÁSSZEKRÉNY","THE CHRONICLES OF NARNIA: THE LION, THE WITCH AND THE WARDROBE","FÓRUM HUNGARY",2005/12/22,343530079,399972
DZSUNGELTÚRA,"JUNGLE CRUISE",FORUM,2021/07/29,343242032,210897
MÁSNAPOSOK,"THE HANGOVER",INTERCOM,2009/06/17,338692345,319078
"VERDÁK 2 ","CARS 2","FÓRUM HUNGARY",2011/07/28,336643444,273087
"MÁSNAPOSOK 3","HANGOVER 3",INTERCOM,2013/05/30,335873861,263481
"ROSSZ ANYÁK","BAD MOMS",FREEMAN,2016/08/11,335035128,252289
"SZEMFÉNYVESZTŐK 2.","NOW YOU SEE ME 2",FREEMAN,2016/06/09,334625777,243729
"SHERLOCK  HOLMES 2. ÁRNYJÁTÉK","SHERLOCK  HOLMES. A GAME OF SHADOWS",INTERCOM,2012/01/05,334391877,274127
"MOST VAGY SOHA!","MOST VAGY SOHA!",FORUM,2024/03/14,333958105,164122
"AZ ÉHEZŐK VIADALA: A KIVÁLASZTOTT 1. RÉSZ","THE HUNGER GAMES: MOCKINGJAY 1.","FÓRUM HUNGARY",2014/11/20,333278703,251901
WARCRAFT,WARCRAFT,"UIP DUNA FILM",2016/05/26,332827870,227231
PROMETHEUS,PROMETHEUS,INTERCOM,2012/06/07,332036208,224001
"CSAK SZEX ÉS MÁS SEMMI",,HUNGARICOM,2005/12/08,331181708,404900
"MANCS ŐRJÁRAT: A SZUPERFILM","PAW PATROL: THE MIGHTY MOVIE",UIP,2023/10/12,329398410,174688
"AMERIKA PITE-AZ ESKÜVŐ","AMERICAN PIE-THE WEDDIN","UIP DUNA FILM",2003/09/25,329045094,399649
"HALÁLOS IRAMBAN 9.","FAST & FURIOUS 9",UIP,2021/06/24,325977362,204016
"MISSION: IMPOSSIBLE - UTÓHATÁS","MISSION: IMPOSSIBLE - FALLOUT","UIP DUNA FILM",2018/08/02,325711124,211395
INFERNO,INFERNO,INTERCOM,2016/10/13,325424102,230662
"SPONGYABOB: KI A VÍZBŐL!","SPONGBOB MOVIE,THE : SPONGE OUT OF WATER!","UIP DUNA FILM",2015/02/12,322071487,250163
"RIO 2.","RIO 2.",INTERCOM,2014/04/10,321126796,258165
